Purchase Order,Vendor,Receipt ID,Vendor Invoice ID,Item,Unit,SKU,Barcode,Vendor Item ID,Date,Cost/Unit,Total Quantity,Total Cost,Shipping&Handling,Taxes,Misc Costs,Total Costs,Correction ID,Delta,Remarks
896,Discovery Organics,790,32099101,"Avocado, Hass Organic",Crate,1-0000647,1E+11,,01/02/19,34.6,1,34.6,,,,,,,
896,Discovery Organics,790,32099101,"Basil, Fresh, Organic",Case,1-0000879,1E+11,,01/02/19,15.6,1,15.6,,,,,,,
896,Discovery Organics,790,32099101,"Raspberries, Frozen BC Organic",Case,1-0000354,1E+11,,01/02/19,128.6,1,128.6,,,,,,,
897,Discovery Organics,,,,,,,,01/02/19,,23.5,1050.35,0,0,0,0,,,
897,Discovery Organics,791,32098687,,,,,,01/02/19,,23.5,1067,,,,,,,
897,Discovery Organics,791,32098687,"Celery, Organic",Case,1-0000617,1E+11,,01/02/19,64.8,1,64.8,,,,,,,
897,Discovery Organics,791,32098687,"Banana, Organic",Case,1-0000601,1E+11,,01/02/19,39.6,2,79.2,,,,,,,
897,Discovery Organics,791,32098687,"Avocado, Hass Organic",Crate,1-0000647,1E+11,,01/02/19,34.6,1,34.6,,,,,,,
897,Discovery Organics,791,32098687,"Parsnip, Organic",Case,1-0001187,1E+11,,01/02/19,62.6,1,62.6,,,,,,,
897,Discovery Organics,791,32098687,"Tomato, Vine Organic",Case,1-0000594,1E+11,,01/02/19,39.8,1,39.8,,,,,,,
897,Discovery Organics,791,32098687,"Fresh Rosemary, Organic",Case,1-0000781,1E+11,,01/02/19,22.6,1,22.6,,,,,,,
897,Discovery Organics,791,32098687,"Bell Pepper, Red Organic",Box (1),1-0000638,1E+11,,01/02/19,72.6,1,72.6,,,,,,,
897,Discovery Organics,791,32098687,"Bell Pepper, Orange Organic",Case,1-0000637,1E+11,,01/02/19,65.6,1,65.6,,,,,,,
897,Discovery Organics,791,32098687,"Broccoli, Crowns, Organic",Case,1-0000613,1E+11,,01/02/19,39.8,1,39.8,,,,,,,
897,Discovery Organics,791,32098687,"Carrots, Table, Organic",Bag,1-0000725,1E+11,,01/02/19,31.6,1,31.6,,,,,,,
897,Discovery Organics,791,32098687,"Bok Choy, Organic",Case,1-0000612,1E+11,,01/02/19,55.6,1,55.6,,,,,,,
897,Discovery Organics,791,32098687,"Cabbage, Green Organic",Case,1-0000615,1E+11,,01/02/19,58.6,1,58.6,,,,,,,
897,Discovery Organics,791,32098687,"Squash, Spaghetti Organic",Case,1-00010670,1E+11,,01/02/19,42,1,42,,,,,,,
897,Discovery Organics,791,32098687,"Thyme, Fresh Organic",Case,1-0000951,1E+11,,01/02/19,23.8,1,23.8,,,,,,,
897,Discovery Organics,791,32098687,"Oranges, Satsuma Organic",Case,1E+11,1E+11,,01/02/19,57.2,1,57.2,,,,,,,
897,Discovery Organics,791,32098687,"Persimmons, Organic - Discovery Organics",Case,1-0001124,1E+11,,01/02/19,38.6,1,38.6,,,,,,,
897,Discovery Organics,791,32098687,"Green Beans, Organic",Case,1-0000646,1E+11,,01/02/19,39.8,1,39.8,,,,,,,
897,Discovery Organics,791,32098687,"Carrots, Orange Bunch Organic",Case,1-0000934,1E+11,,01/02/19,48.8,1,48.8,,,,,,,
897,Discovery Organics,791,32098687,"Potato, Red Large Organic",Case,1-0000595,1E+11,,01/02/19,34.6,1,34.6,,,,,,,
897,Discovery Organics,791,32098687,"Kale, Lacinato Organic",Case,1-0000625,1E+11,,01/02/19,63.2,0.5,31.6,,,,,,,
897,Discovery Organics,791,32098687,"Kale, Green Organic",Case,1-0000626,1E+11,,01/02/19,29.4,1,29.4,,,,,,,
897,Discovery Organics,791,32098687,"Zucchini, Organic",Case,1-0001058,1E+11,,01/02/19,36.2,1,36.2,,,,,,,
897,Discovery Organics,791,32098687,"Brussels Sprouts, Organic",Case,1-0000614,1E+11,,01/02/19,57.6,1,57.6,,,,,,,
898,LFT Group Brands Ltd.,,,,,,,,01/02/19,,5,1704.95,0,85.25,0,85.25,,,
898,LFT Group Brands Ltd.,792,SI11-2019-1337,,,,,,01/02/19,,5,1679.69,,,,,,,
898,LFT Group Brands Ltd.,792,SI11-2019-1337,"8x Liquid Laundry, Unscented - Live for Tomorow",Container,1E+11,1E+11,,01/02/19,328.36,2,656.72,,,,,,,
898,LFT Group Brands Ltd.,792,SI11-2019-1337,"8x Liquid Laundry, Lavender - Live for Tomorow",Container,1-0000684,1E+11,LFT0842,01/02/19,340.99,1,340.99,,,,,,,
898,LFT Group Brands Ltd.,792,SI11-2019-1337,"8x Liquid Laundry, Rosemary Orange Blossom - Live for Tomorow",Container,1-0000685,1E+11,LFT0941,01/02/19,340.99,2,681.98,,,,,,,
899,Cropthorne Farm,,,,,,,,01/02/19,,170,465,0,0,0,0,,,
899,Cropthorne Farm,794,592,,,,,,01/02/19,,170,465,,,,,,,
