ID,Vendor name,Address line 1,Address used for distance calculation (Google Maps),City,Country,State,Zip code,Distance to Nada (1 Way) (km),Distance to Nada 2 ways (km)
107,The Modern Pantry,,"2055 Old Dollarton Rd, North Vancouver, BC V7H 2N8, Canada",,USA,,,10.5,21
108,Two Daughters Bakeshop,121 East 1st Street,"121 1st St E, North Vancouver, BC V7L 1B2, Canada",Vancouver,Canada,BC,,14.4,28.8
109,Yellow Basket Baking,,"400 Industrial Ave, Vancouver, BC V6A 2P3, Canada",,USA,,,2,4
110,Lakehouse Foods,,,,USA,,,,0
111,Tree Island Gourmet Yogurt,,"Tree Island Gourmet Yogurt, 3747 Island Hwy S, Courtenay, BC V9N 9T4, Canada",,USA,,,191,382
113,Cropthorne Farm,,"Cropthorne Farm, 4362 Tamboline Rd, Delta, BC V4K 3N2, Canada",,USA,,,28.8,57.6
114,Sea Smart,,"Vancouver, British Columbia, Canada",,USA,,,4.4,8.8
115,Bows & Arrows,,"Bows & Arrows Coffee Roasters, 483 Garbally Rd, Victoria, BC V8T 2J9, Canada",,USA,,,111,222
116,Two Daughters Bakeshop,121 East 1st Street,"121 1st St E, North Vancouver, BC V7L 1B2, Canada",North Vancouver,Canada,BC,,14.4,28.8
117,Two Daughters Bakeshop,121 East 1st Street,"121 1st St E, North Vancouver, BC V7L 1B2, Canada",North Vancouver,Canada,British Columbia,,14.4,28.8
118,Bows & Arrows,483 Garbally Rd,"483 Garbally Rd, Victoria, BC V8T 2K1, Canada",Victoria,Canada,British Columbia,V8T 2J9,111,222
119,Flourgirl Baking,417 Industrial Ave,"417 Industrial Ave, Vancouver, BC V6A 2P3, Canada",Vancouver,Canada,BC,V6A 2P3,1.9,3.8
120,Nada Cafe,,,,USA,,,,0
121,Flourgirl Baking,417 Industrial Ave,"417 Industrial Ave, Vancouver, BC V6A 2P3, Canada",Vancouver,Canada,BC,,1.9,3.8
123,Keegan's Card Company,4664 Lancelot Court,"4664 Lancelot Ct, Richmond, BC V7C 4S2, Canada",Richmond,Canada,BC,V7C4S2,17.5,35
124,Studio Full Bloom,,"Studio Full Bloom, 1319 Commercial Dr, Vancouver, BC V5L 3W6, Canada",,USA,,,2.8,5.6
